indicator_id,country_id,quarter,date,value,source,source_series_id,ingested_at
L1,IN,,2025-12-31,4.219,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:58.931794
L1,SL,,2016-12-31,4.242,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2017-12-31,4.046,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2018-12-31,4.318,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2019-12-31,4.67,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2020-12-31,5.364,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2021-12-31,4.981,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2022-12-31,4.528,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2023-12-31,4.528,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2024-12-31,4.239,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
L1,SL,,2025-12-31,4.005,World Bank,SL.UEM.TOTL.ZS,2026-06-09T17:14:59.027814
