indicator_id,country_id,date,value,source,source_series_id,ingested_at
F1,US,2024-06-10,5360.7900390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-11,5375.31982421875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-12,5421.02978515625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-13,5433.740234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-14,5431.60009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-17,5473.22998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-18,5487.02978515625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-20,5473.169921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-21,5464.6201171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-24,5447.8701171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-25,5469.2998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-26,5477.89990234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-27,5482.8701171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-06-28,5460.47998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-01,5475.08984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-02,5509.009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-03,5537.02001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-05,5567.18994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-08,5572.85009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-09,5576.97998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-10,5633.91015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-11,5584.5400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-12,5615.35009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-15,5631.22021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-16,5667.2001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-17,5588.27001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-18,5544.58984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-19,5505.0,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-22,5564.41015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-23,5555.740234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-24,5427.1298828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-25,5399.22021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-26,5459.10009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-29,5463.5400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-30,5436.43994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-07-31,5522.2998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-01,5446.68017578125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-02,5346.56005859375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-05,5186.330078125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-06,5240.02978515625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-07,5199.5,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-08,5319.31005859375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-09,5344.16015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-12,5344.39013671875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-13,5434.43017578125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-14,5455.2099609375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-15,5543.22021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-16,5554.25,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-19,5608.25,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-20,5597.1201171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-21,5620.85009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-22,5570.64013671875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-23,5634.60986328125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-26,5616.83984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-27,5625.7998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-28,5592.18017578125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-29,5591.9599609375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-08-30,5648.39990234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-03,5528.93017578125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-04,5520.06982421875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-05,5503.41015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-06,5408.419921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-09,5471.0498046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-10,5495.52001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-11,5554.1298828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-12,5595.759765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-13,5626.02001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-16,5633.08984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-17,5634.580078125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-18,5618.259765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-19,5713.64013671875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-20,5702.5498046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-23,5718.56982421875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-24,5732.93017578125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-25,5722.259765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-26,5745.3701171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-27,5738.169921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-09-30,5762.47998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-01,5708.75,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-02,5709.5400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-03,5699.93994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-04,5751.06982421875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-07,5695.93994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-08,5751.1298828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-09,5792.0400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-10,5780.0498046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-11,5815.02978515625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-14,5859.85009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-15,5815.259765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-16,5842.47021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-17,5841.47021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-18,5864.669921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-21,5853.97998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-22,5851.2001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-23,5797.419921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-24,5809.85986328125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-25,5808.1201171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-28,5823.52001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-29,5832.919921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-30,5813.669921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-10-31,5705.4501953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-01,5728.7998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-04,5712.68994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-05,5782.759765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-06,5929.0400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-07,5973.10009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-08,5995.5400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-11,6001.35009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-12,5983.990234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-13,5985.3798828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-14,5949.169921875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-15,5870.6201171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-18,5893.6201171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-19,5916.97998046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-20,5917.10986328125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-21,5948.7099609375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-22,5969.33984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-25,5987.3701171875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-26,6021.6298828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-27,5998.740234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-11-29,6032.3798828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-02,6047.14990234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-03,6049.8798828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-04,6086.490234375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-05,6075.10986328125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-06,6090.27001953125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-09,6052.85009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-10,6034.91015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-11,6084.18994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-12,6051.25,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-13,6051.08984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-16,6074.080078125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-17,6050.60986328125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-18,5872.16015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-19,5867.080078125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-20,5930.85009765625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-23,5974.06982421875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-24,6040.0400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-26,6037.58984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-27,5970.83984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-30,5906.93994140625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2024-12-31,5881.6298828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-02,5868.5498046875,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-03,5942.47021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-06,5975.3798828125,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-07,5909.02978515625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-08,5918.25,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-10,5827.0400390625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-13,5836.22021484375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-14,5842.91015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-15,5949.91015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-16,5937.33984375,yfinance,^GSPC,2026-06-09T08:01:45.798391
F1,US,2025-01-17,5996.66015625,yfinance,^GSPC,2026-06-09T08:01:45.798391
