indicator_id,indicator_name,unit,frequency,week_ending,US_value,US_prior,US_wow_pct,EA_value,EA_prior,EA_wow_pct,SG_value,SG_prior,SG_wow_pct,CN_value,CN_prior,CN_wow_pct,IN_value,IN_prior,IN_wow_pct,SL_value,SL_prior,SL_wow_pct,ingested_at
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-04-18,5282.7001953125,,,4935.33984375,,,3720.330078125,,,3276.72998046875,,,78553.203125,,,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-04-25,5525.2099609375,5282.7001953125,4.5906,5154.1201171875,4935.33984375,4.4329,3823.780029296875,3720.330078125,2.7807,3295.06005859375,3276.72998046875,0.5594,79212.53125,78553.203125,0.8393,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-05-02,5686.669921875,5525.2099609375,2.9222,5285.18994140625,5154.1201171875,2.543,3845.139892578125,3823.780029296875,0.5586,3279.031005859375,3295.06005859375,-0.4865,80501.9921875,79212.53125,1.6278,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-05-09,5659.91015625,5686.669921875,-0.4706,5309.740234375,5285.18994140625,0.4645,3876.159912109375,3845.139892578125,0.8067,3341.9990234375,3279.031005859375,1.9203,79454.46875,80501.9921875,-1.3012,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-05-16,5958.3798828125,5659.91015625,5.2734,5427.52978515625,5309.740234375,2.2184,3897.8701171875,3876.159912109375,0.5601,3367.4619140625,3341.9990234375,0.7619,82330.59375,79454.46875,3.6198,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-05-23,5802.81982421875,5958.3798828125,-2.6108,5326.31005859375,5427.52978515625,-1.8649,3882.419921875,3897.8701171875,-0.3964,3348.3720703125,3367.4619140625,-0.5669,81721.078125,82330.59375,-0.7403,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-05-30,5911.68994140625,5802.81982421875,1.8762,5366.58984375,5326.31005859375,0.7562,3894.610107421875,3882.419921875,0.314,3347.487060546875,3348.3720703125,-0.0264,81451.0078125,81721.078125,-0.3305,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-06-06,6000.35986328125,5911.68994140625,1.4999,5430.169921875,5366.58984375,1.1847,3934.2900390625,3894.610107421875,1.0188,3385.35791015625,3347.487060546875,1.1313,82188.9921875,81451.0078125,0.906,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-06-13,5976.97021484375,6000.35986328125,-0.3898,5290.47021484375,5430.169921875,-2.5727,3911.419921875,3934.2900390625,-0.5813,3376.99609375,3385.35791015625,-0.247,81118.6015625,82188.9921875,-1.3024,,,,2026-06-09T07:11:58.313171
F1,Equity Index (WoW %),% WoW,Weekly (Friday),2025-06-20,5967.83984375,5976.97021484375,-0.1528,5233.580078125,5290.47021484375,-1.0753,3883.429931640625,3911.419921875,-0.7156,3359.89501953125,3376.99609375,-0.5064,82408.171875,81118.6015625,1.5897,,,,2026-06-09T07:11:58.313171
