indicator_id,indicator_name,unit,frequency,week_ending,US_value,US_prior,US_wow_pct,EA_value,EA_prior,EA_wow_pct,SG_value,SG_prior,SG_wow_pct,CN_value,CN_prior,CN_wow_pct,IN_value,IN_prior,IN_wow_pct,SL_value,SL_prior,SL_wow_pct,ingested_at
F2,FX vs USD (WoW %),% WoW,Weekly,2025-04-18,99.37999725341797,,,1.1396790742874146,,,-1.3102999925613403,,,-7.3119001388549805,,,-85.62049865722656,,,-295.19866943359375,,,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-04-25,99.47000122070312,99.37999725341797,0.0906,1.1371906995773315,1.1396790742874146,-0.2183,-1.3122899532318115,-1.3102999925613403,0.1519,-7.285999774932861,-7.3119001388549805,-0.3542,-85.2573013305664,-85.62049865722656,-0.4242,-296.6634826660156,-295.19866943359375,0.4962,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-02,100.0,99.47000122070312,0.5328,1.1296498775482178,1.1371906995773315,-0.6631,-1.3107600212097168,-1.3122899532318115,-0.1166,-7.270599842071533,-7.285999774932861,-0.2114,-84.69670104980469,-85.2573013305664,-0.6575,-297.1692810058594,-296.6634826660156,0.1705,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-09,100.33999633789062,100.0,0.34,1.122422695159912,1.1296498775482178,-0.6398,-1.300510048866272,-1.3107600212097168,-0.782,-7.225200176239014,-7.270599842071533,-0.6244,-86.08219909667969,-84.69670104980469,1.6358,-295.802001953125,-297.1692810058594,-0.4601,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-16,101.08999633789062,100.33999633789062,0.7475,1.1192693710327148,1.122422695159912,-0.2809,-1.2966200113296509,-1.300510048866272,-0.2991,-7.206500053405762,-7.225200176239014,-0.2588,-85.44490051269531,-86.08219909667969,-0.7403,-295.5722351074219,-295.802001953125,-0.0777,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-23,99.11000061035156,101.08999633789062,-1.9586,1.1281843185424805,1.1192693710327148,0.7965,-1.2920399904251099,-1.2966200113296509,-0.3532,-7.203700065612793,-7.206500053405762,-0.0389,-85.97489929199219,-85.44490051269531,0.6203,-295.9132995605469,-295.5722351074219,0.1154,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-30,99.33000183105469,99.11000061035156,0.222,1.1378376483917236,1.1281843185424805,0.8557,-1.2862499952316284,-1.2920399904251099,-0.4481,-7.203700065612793,-7.203700065612793,0.0,-85.36129760742188,-85.97489929199219,-0.7137,-296.3419189453125,-295.9132995605469,0.1448,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-06,99.19000244140625,99.33000183105469,-0.1409,1.1453834772109985,1.1378376483917236,0.6632,-1.2862199544906616,-1.2862499952316284,-0.0023,-7.175000190734863,-7.203700065612793,-0.3984,-85.87750244140625,-85.36129760742188,0.6047,-296.11181640625,-296.3419189453125,-0.0776,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-13,98.18000030517578,99.19000244140625,-1.0182,1.1600254774093628,1.1453834772109985,1.2783,-1.2781599760055542,-1.2862199544906616,-0.6266,-7.192800045013428,-7.175000190734863,0.2481,-85.68840026855469,-85.87750244140625,-0.2202,-296.0225524902344,-296.11181640625,-0.0301,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-20,98.70999908447266,98.18000030517578,0.5398,1.1512778997421265,1.1600254774093628,-0.7541,-1.2848999500274658,-1.2781599760055542,0.5273,-7.188000202178955,-7.192800045013428,-0.0667,-86.58380126953125,-85.68840026855469,1.045,-297.318359375,-296.0225524902344,0.4377,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-27,97.4000015258789,98.70999908447266,-1.3271,1.1692214012145996,1.1512778997421265,1.5586,-1.2752900123596191,-1.2848999500274658,-0.7479,-7.167500019073486,-7.188000202178955,-0.2852,-85.66639709472656,-86.58380126953125,-1.0596,-296.49896240234375,-297.318359375,-0.2756,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-07-04,97.18000030517578,97.4000015258789,-0.2259,1.1771491765975952,1.1692214012145996,0.678,-1.273859977722168,-1.2752900123596191,-0.1121,-7.164899826049805,-7.167500019073486,-0.0363,-85.31909942626953,-85.66639709472656,-0.4054,-297.08367919921875,-296.49896240234375,0.1972,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-07-11,97.8499984741211,97.18000030517578,0.6894,1.1702749729156494,1.1771491765975952,-0.584,-1.2793699502944946,-1.273859977722168,0.4325,-7.174799919128418,-7.164899826049805,0.1382,-85.73480224609375,-85.31909942626953,0.4872,-297.6038513183594,-297.08367919921875,0.1751,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-07-18,98.4800033569336,97.8499984741211,0.6438,1.161548137664795,1.1702749729156494,-0.7457,-1.2853100299835205,-1.2793699502944946,0.4643,-7.183199882507324,-7.174799919128418,0.1171,-86.04650115966797,-85.73480224609375,0.3636,-297.9528503417969,-297.6038513183594,0.1173,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-07-25,97.6500015258789,98.4800033569336,-0.8428,1.1756131649017334,1.161548137664795,1.2109,-1.2770999670028687,-1.2853100299835205,-0.6388,-7.153500080108643,-7.183199882507324,-0.4135,-86.4302978515625,-86.04650115966797,0.446,-298.86279296875,-297.9528503417969,0.3054,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-08-01,98.69000244140625,97.6500015258789,1.065,1.142374038696289,1.1756131649017334,-2.8274,-1.297700047492981,-1.2770999670028687,1.613,-7.200200080871582,-7.153500080108643,0.6528,-87.4894027709961,-86.4302978515625,1.2254,-299.0104675292969,-298.86279296875,0.0494,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-08-08,98.18000030517578,98.69000244140625,-0.5168,1.1676650047302246,1.142374038696289,2.2139,-1.2825100421905518,-1.297700047492981,-1.1705,-7.181000232696533,-7.200200080871582,-0.2667,-87.43319702148438,-87.4894027709961,-0.0642,-298.01434326171875,-299.0104675292969,-0.3331,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-08-15,97.8499984741211,98.18000030517578,-0.3361,1.1651345491409302,1.1676650047302246,-0.2167,-1.2843199968338013,-1.2825100421905518,0.1411,-7.179500102996826,-7.181000232696533,-0.0209,-87.69180297851562,-87.43319702148438,0.2958,-298.1118469238281,-298.01434326171875,0.0327,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-08-22,97.72000122070312,97.8499984741211,-0.1329,1.16130530834198,1.1651345491409302,-0.3287,-1.288540005683899,-1.2843199968338013,0.3286,-7.179900169372559,-7.179500102996826,0.0056,-87.29340362548828,-87.69180297851562,-0.4543,-298.7651672363281,-298.1118469238281,0.2192,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-08-29,97.7699966430664,97.72000122070312,0.0512,1.1681560277938843,1.16130530834198,0.5899,-1.2823200225830078,-1.288540005683899,-0.4827,-7.1529998779296875,-7.179900169372559,-0.3747,-87.5916976928711,-87.29340362548828,0.3417,-299.2929382324219,-298.7651672363281,0.1767,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-09-05,97.7699966430664,97.7699966430664,0.0,1.1656913757324219,1.1681560277938843,-0.211,-1.2889200448989868,-1.2823200225830078,0.5147,-7.14139986038208,-7.1529998779296875,-0.1622,-88.19290161132812,-87.5916976928711,0.6864,-299.1119384765625,-299.2929382324219,-0.0605,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-09-12,97.55000305175781,97.7699966430664,-0.225,1.1734747886657715,1.1656913757324219,0.6677,-1.2816100120544434,-1.2889200448989868,-0.5671,-7.1184000968933105,-7.14139986038208,-0.3221,-88.2676010131836,-88.19290161132812,0.0847,-298.69390869140625,-299.1119384765625,-0.1398,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-09-19,97.63999938964844,97.55000305175781,0.0923,1.1791062355041504,1.1734747886657715,0.4799,-1.2817599773406982,-1.2816100120544434,0.0117,-7.1128997802734375,-7.1184000968933105,-0.0773,-88.20690155029297,-88.2676010131836,-0.0688,-299.26336669921875,-298.69390869140625,0.1906,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-09-26,98.1500015258789,97.63999938964844,0.5223,1.166275978088379,1.1791062355041504,-1.0881,-1.2943600416183472,-1.2817599773406982,0.983,-7.133800029754639,-7.1128997802734375,0.2938,-88.77310180664062,-88.20690155029297,0.6419,-299.6814880371094,-299.26336669921875,0.1397,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-10-03,97.72000122070312,98.1500015258789,-0.4381,1.1725116968154907,1.166275978088379,0.5347,-1.2885600328445435,-1.2943600416183472,-0.4481,-7.11899995803833,-7.133800029754639,-0.2075,-88.72019958496094,-88.77310180664062,-0.0596,-299.60772705078125,-299.6814880371094,-0.0246,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-10-10,98.9800033569336,97.72000122070312,1.2894,1.156644344329834,1.1725116968154907,-1.3533,-1.2991700172424316,-1.2885600328445435,0.8234,-7.127500057220459,-7.11899995803833,0.1194,-88.86540222167969,-88.72019958496094,0.1637,-301.3192443847656,-299.60772705078125,0.5713,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-10-17,98.43000030517578,98.9800033569336,-0.5557,1.1699601411819458,1.156644344329834,1.1512,-1.2928099632263184,-1.2991700172424316,-0.4895,-7.123000144958496,-7.127500057220459,-0.0631,-87.9906997680664,-88.86540222167969,-0.9843,-300.14678955078125,-301.3192443847656,-0.3891,2026-06-09T07:11:59.575720
F2,FX vs USD (WoW %),% WoW,Weekly,2025-10-24,98.94999694824219,98.43000030517578,0.5283,1.1618045568466187,1.1699601411819458,-0.6971,-1.2985999584197998,-1.2928099632263184,0.4479,-7.125699996948242,-7.123000144958496,0.0379,-87.77899932861328,-87.9906997680664,-0.2406,-299.98406982421875,-300.14678955078125,-0.0542,2026-06-09T07:11:59.575720
